,uic,name,lat,lng,address
100,8400566,Sneek,53.0328688,5.6523969,"Doctor Boumaweg, Sneek, Súdwest-Fryslân, Fryslân, Nederland, 8601 GJ, Nederland"
101,8400567,Soest,52.1733322143555,5.30999994277954,"Spoor 2, Chris Uiterwijkpad, De Eng Zuid, Soest, Utrecht, Nederland, 3764 CP, Nederland"
102,8400596,Tiel,51.8894462585449,5.42222213745117,"Spoor 3, Spoorstraat, Stationsbuurt, Tiel, Gelderland, Nederland, 4001 WZ, Nederland"
103,8400615,Uitgeest,52.5216674804687,4.70166683197022,"4b, De Krijgsman, Assum, Uitgeest, Noord-Holland, Nederland, 1911 KN, Nederland"
104,8400620,Utrecht Overvecht,52.1100006103516,5.12472200393677,"Spoor 3, Regentesselaan, Tuindorp, Van Lieflandlaan-West, Tuindorp, Voordorp, Noordoost, Utrecht, Nederland, 3571 CD, Nederland"
105,8400606,Utrecht Vaartsche Rijn,52.078889,5.121667,"42, Westerkade, Rivierenwijk, Dichterswijk, Rivierenwijk, Zuidwest, Utrecht, Nederland, 3511 HC, Nederland"
106,8400636,Veendam,53.10324,6.88475,"Station, Spoorweg, Ommelanderwijk, Veendam, Groningen, Nederland, 9641 CL, Nederland"
107,8400627,Veenendaal Centrum,52.0200004577637,5.54861116409302,"Rembrandtlaan / Station Veenendaal Centrum, Rembrandtlaan, Franse Gat, Zuidwest, Veenendaal, Utrecht, Nederland, 3904 ZD, Nederland"
108,8400646,Venray,51.526568099007,6.01417779922485,"Stationsweg, Oostrum, Venray, Limburg, Nederland, 5807 EN, Nederland"
109,8400685,Weesp,52.3127784729004,5.04305553436279,"Spoor 5, Simon Vestdijkstraat, Weespersluis, Weesp, Amsterdam, Noord-Holland, Nederland, 1382 DA, Nederland"
110,8400691,Wierden,52.3613891601562,6.59166669845581,"Spoorstraat, Wierden, Overijssel, Nederland, 7641 AS, Nederland"
111,8400696,Winschoten,53.1392377,7.035101,"2, Rodeweg, Zuid, Winschoten, Oldambt, Groningen, Nederland, 9673 BL, Nederland"
112,8400698,Winterswijk,51.9677307,6.7155181,"Stationsstraat, Winterswijk, Gelderland, Nederland, 7101 GV, Nederland"
113,8400702,Woerden,52.0849990844727,4.89361095428467,"Jan Ruijspad, Snellerpoort, Woerden, Utrecht, Nederland, 3446 GL, Nederland"
114,8400364,Zaandijk Zaanse Schans,52.469165802002,4.80499982833862,"Kogertunnel, Koog aan de Zaan, Zaanstad, Noord-Holland, Nederland, 1541 LK, Nederland"
115,8400735,Zevenaar,51.9230537414551,6.07194423675537,"Spoor 3, Ringbaan-Zuid, Ooij, Molenwijk, Ooij, Oud-Zevenaar, Zevenaar, Gelderland, Nederland, 6901 BG, Nederland"
116,8400741,Zoetermeer,52.0475006103516,4.47722244262695,"Spoor 4, Zuidweg, Zoetermeer, Zuid-Holland, Nederland, 2719 EG, Nederland"
117,8400742,Zuidbroek,53.1596122800056,6.8679141998291,"Noord-Nederlands Trein & Tram Museum, Stationsstraat, Tusschenloegen, Zuidbroek, Midden-Groningen, Groningen, Nederland, 9636 BA, Nederland"
118,8400320,'s-Hertogenbosch Oost,51.700553894043,5.3183331489563,"Spoor 1, Buitenpepers, 's-Hertogenbosch, Noord-Brabant, Nederland, 5213 JK, Nederland"
119,8400388,'t Harde,52.4091682,5.893611,"3, Spoorstraat, 't Harde, Elburg, Gelderland, Nederland, 8084 HW, Nederland"
120,8400045,Aalten,51.9213265245505,6.57862722873687,"Aalten, Gelderland, Nederland, 7122 VN, Nederland"
121,8400047,Abcoude,52.2785,4.977,"Geinplein, Abcoude, De Ronde Venen, Utrecht, Nederland, 1391 SZ, Nederland"
122,8400049,Akkrum,53.0463905334473,5.84361124038696,"2, Alde Rykswei, Akkrum, Heerenveen, Fryslân, Nederland, 8491 BP, Nederland"
123,8400052,Alkmaar Noord,52.6438903808594,4.76416683197022,"112A, Drechterwaard, Huiswaard 2-Oost, Alkmaar, Noord-Holland, Nederland, 1824 DX, Nederland"
124,8400520,Almelo de Riet,52.3419456481934,6.66666650772095,"226, Rietstraat, Ossenkoppelerhoek, Almelo, Overijssel, Nederland, 7606 BW, Nederland"
125,8400081,Almere Buiten,52.3941650390625,5.2780556678772,"Keerkringplein, Buitenmere, Almere Buiten, Almere, Flevoland, Nederland, 1334 BS, Nederland"
126,8400082,Almere Muziekwijk,52.3675003051758,5.19027757644653,"Spoor 2, Bartokweg, Muziekwijk, Almere Stad, Almere, Flevoland, Nederland, 1323 SX, Nederland"
127,8400226,Almere Oostvaarders,52.4033317565918,5.30055570602417,"Insulindepad, Indischebuurt, Almere Buiten, Almere, Flevoland, Nederland, 1335 JT, Nederland"
128,8400104,Almere Parkwijk,52.3766670227051,5.24472236633301,"Spoorbaanpad, Verzetswijk, Almere, Flevoland, Nederland, 1326 CN, Nederland"
129,8400450,Almere Poort,52.342778,5.151944,"3, Zomerspelenplein, Olympiakwartier, Almere Poort, Almere, Flevoland, Nederland, 1361 CL, Nederland"
130,8400054,Amersfoort Schothorst,52.1748221374512,5.40388870239258,"Geintunnel, Hoefkwartier, De Hoef, Amersfoort, Utrecht, Nederland, 3813 ZX, Nederland"
131,8400228,Amersfoort Vathorst,52.1927795410156,5.43388891220093,"Soldaat der 1e klasse Christian van der Linden, Laakboulevard, Vathorst-Centrum, Amersfoort, Utrecht, Nederland, 3829 DR, Nederland"
132,8400231,Amsterdam Holendrecht,52.29844,4.95972,"Meibergdreef, Zuidoost, Amsterdam, Noord-Holland, Nederland, 1106 TC, Nederland"
133,8400079,Amsterdam Lelylaan,52.3577766418457,4.83388900756836,"Amsterdam Lelylaan, Cornelis Lelylaan, Overtoomse Veld, Nieuw-West, Amsterdam, Noord-Holland, Nederland, 1062 HX, Nederland"
134,8400060,Amsterdam Muiderpoort,52.3605537414551,4.93111133575439,"Oosterspoorplein, Dapperbuurt, Oost, Amsterdam, Noord-Holland, Nederland, 1093 JW, Nederland"
135,8400056,Amsterdam RAI,52.3372230529785,4.89027786254883,"Ringweg-Zuid, Ravel, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1078 RV, Nederland"
136,8400235,Amsterdam Science Park,52.35274,4.94855,"Kruislaan, Watergraafsmeer, Oost, Amsterdam, Noord-Holland, Nederland, 1098 SJ, Nederland"
137,8400065,Anna Paulowna,52.8672218322754,4.81111097335815,"Kruiswijk, Spoorbuurt, Anna Paulowna, Hollands Kroon, Noord-Holland, Nederland, 1761 AR, Nederland"
138,8400233,Apeldoorn De Maten,52.2052764892578,6.00055551528931,"Laan van Zonnehoeve, Groot Zonnehoeve, Matendonk, Apeldoorn, Gelderland, Nederland, 7326 BN, Nederland"
139,8400229,Apeldoorn Osseveld,52.2152786254883,6.00444459915161,"Linie, Woudhuis, Oost, Apeldoorn, Gelderland, Nederland, 7325 DZ, Nederland"
140,8400067,Appingedam,53.3258135,6.8619577,"N360, Solwerd, Appingedam, Eemsdelta, Groningen, Nederland, 9901 DD, Nederland"
141,8400068,Arkel,51.8719444274902,4.99277782440186,"Spoor 1, Parallelweg, Arkel, Molenlanden, Zuid-Holland, Nederland, 4241 XH, Nederland"
142,8400069,Arnemuiden,51.5016670227051,3.66916656494141,"Doeleweg, Arnemuiden, Middelburg, Zeeland, Nederland, 4341 AT, Nederland"
143,8400075,Arnhem Presikhaaf,51.9880561828613,5.94388866424561,"Eleonorastraat, Plattenburg, Velperweg en omgeving, Arnhem, Gelderland, Nederland, 6824 EX, Nederland"
144,8400072,Arnhem Velperpoort,51.985279083252,5.91944456100464,"Sonsbeeksingel, Hommelstraat, Spijkerkwartier, Arnhem, Gelderland, Nederland, 6822 BP, Nederland"
145,8400227,Arnhem Zuid,51.9550018310547,5.85194444656372,"Spoor 2, Metamorfosenallee, Schuytgraaf-Centrum, Schuytgraaf, Arnhem, Gelderland, Nederland, 6843 HX, Nederland"
146,8400089,Baflo,53.3608969,6.5185581,"Pizzeria Da Giampaolo (afhaalpizzeria), Stationsweg, Dingen, Baflo, Het Hogeland, Groningen, Nederland, 9953 RG, Nederland"
147,8400090,Barendrecht,51.8547210693359,4.5533332824707,"Spoor 2, Dwarsligger, Dierenstein, Barendrecht, Zuid-Holland, Nederland, 2991 LC, Nederland"
148,8400091,Barneveld Centrum,52.1399993896484,5.59027767181396,"Spoor 2, Burgemeester Kuntzelaan, Barneveld, Gelderland, Nederland, 3771 AX, Nederland"
149,8400092,Barneveld Noord,52.1613883972168,5.59805536270142,"Spoor 1, Heideparkweg, Barneveld, Gelderland, Nederland, 3771 PR, Nederland"
150,8400115,Barneveld Zuid,52.128853,5.60246,"Oud Vellerseweg, Veller, Barneveld, Gelderland, Nederland, 3772 WT, Nederland"
151,8400094,Bedum,53.3068857,6.593054,"Parallelweg, Bedum, Het Hogeland, Groningen, Nederland, 9781 CX, Nederland"
152,8400096,Beek-Elsloo,50.9474983215332,5.78666687011719,"Spoor 2, Aan de Drie Heren, Neerbeek, Beek, Limburg, Nederland, 6191 BH, Nederland"
153,8400097,Beesd,51.8994445800781,5.19444465637207,"Spoor 2, Stationsweg, Beesd, West Betuwe, Gelderland, Nederland, 4153 RD, Nederland"
154,8400100,Beilen,52.8547210693359,6.52111101150513,"Stationslaan, Lieving, Beilen, Midden-Drenthe, Drenthe, Nederland, 9411 PS, Nederland"
155,8400108,Bergen op Zoom,51.4938888549805,4.29611110687256,"Spoor 2, Parallelweg, Bergen op Zoom, Noord-Brabant, Nederland, 4621 JV, Nederland"
156,8400112,Best,51.5099983215332,5.38916683197022,"Spoor 2, Spoorstraat, Centrum, Best, Noord-Brabant, Nederland, 5683 BD, Nederland"
157,8400113,Beverwijk,52.4783325195313,4.65666675567627,"5, Rijksweg A22, Centrum, Beverwijk, Noord-Holland, Nederland, 1941 JA, Nederland"
158,8400114,Bilthoven,52.1300010681152,5.20388889312744,"Soestdijkseweg Noord, Bilthoven, De Bilt, Utrecht, Nederland, 3723 BS, Nederland"
159,8400117,Blerick,51.372501373291,6.15500020980835,"Spoor 2, Bataljonstraat, Kazerneterrein, Trade-Port, Venlo, Limburg, Nederland, 5928 MA, Nederland"
160,8400118,Bloemendaal,52.404167175293,4.62750005722046,"Spoor 1, Zuider Stationsweg, Veen en Duin, Bloemendaal, Noord-Holland, Nederland, 2024 AN, Nederland"
