,passservice_num,arrival,departure,stations_uic
262,4071,2026-05-02 18:22:00+02:00,2026-05-02 18:22:30+02:00,8400368
263,4071,2026-05-02 18:26:00+02:00,2026-05-02 18:26:30+02:00,8400707
264,4071,2026-05-02 18:29:00+02:00,2026-05-02 18:29:30+02:00,8400364
265,4071,2026-05-02 18:32:00+02:00,2026-05-02 18:32:30+02:00,8400363
266,4071,2026-05-02 18:35:00+02:00,2026-05-02 18:35:30+02:00,8400731
267,4071,2026-05-02 18:41:00+02:00,2026-05-02 18:43:00+02:00,8400059
268,4071,2026-05-02 18:48:00+02:00,2026-05-02 18:50:00+02:00,8400058
269,4071,2026-05-02 18:55:00+02:00,2026-05-02 18:55:30+02:00,8400060
270,4071,2026-05-02 18:58:00+02:00,2026-05-02 18:58:30+02:00,8400057
271,4071,2026-05-02 19:02:00+02:00,2026-05-02 19:02:30+02:00,8400194
272,4071,2026-05-02 19:04:00+02:00,2026-05-02 19:04:30+02:00,8400074
273,4071,2026-05-02 19:07:00+02:00,2026-05-02 19:07:30+02:00,8400231
274,4071,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400047
275,4071,2026-05-02 19:18:00+02:00,2026-05-02 19:18:30+02:00,8400133
276,4071,2026-05-02 19:27:00+02:00,2026-05-02 19:28:00+02:00,8400702
277,4071,2026-05-02 19:37:00+02:00,2026-05-02 19:37:30+02:00,8400257
278,4071,2026-05-02 19:40:00+02:00,2026-05-02 19:41:00+02:00,8400258
279,4071,2026-05-02 19:48:00+02:00,2026-05-02 19:48:30+02:00,8400455
280,4071,2026-05-02 19:51:00+02:00,2026-05-02 19:51:30+02:00,8400147
281,4071,2026-05-02 19:54:00+02:00,2026-05-02 19:54:30+02:00,8400507
282,4071,2026-05-02 19:58:00+02:00,2026-05-02 19:58:30+02:00,8400531
283,4071,2026-05-02 20:04:00+02:00,2026-05-03 00:00:00+02:00,8400530
284,5864,2026-05-02 00:00:00+02:00,2026-05-02 18:22:00+02:00,8400228
285,5864,2026-05-02 18:26:00+02:00,2026-05-02 18:26:30+02:00,8400054
286,5864,2026-05-02 18:30:00+02:00,2026-05-02 18:31:00+02:00,8400055
287,5864,2026-05-02 18:38:00+02:00,2026-05-02 18:38:30+02:00,8400086
288,5864,2026-05-02 18:44:00+02:00,2026-05-02 18:45:00+02:00,8400322
289,5864,2026-05-02 18:47:00+02:00,2026-05-02 18:47:30+02:00,8400324
290,5864,2026-05-02 18:51:00+02:00,2026-05-02 18:51:30+02:00,8400145
291,5864,2026-05-02 18:54:00+02:00,2026-05-02 18:54:30+02:00,8400452
292,5864,2026-05-02 19:00:00+02:00,2026-05-02 19:02:00+02:00,8400685
293,5864,2026-05-02 19:07:00+02:00,2026-05-02 19:07:30+02:00,8400165
294,5864,2026-05-02 19:10:00+02:00,2026-05-02 19:10:30+02:00,8400235
295,5864,2026-05-02 19:13:00+02:00,2026-05-02 19:13:30+02:00,8400060
296,5864,2026-05-02 19:19:00+02:00,2026-05-03 00:00:00+02:00,8400058
297,704362,2026-05-02 00:00:00+02:00,2026-05-02 18:48:00+02:00,8400058
298,704362,2026-05-02 18:54:00+02:00,2026-05-02 18:54:30+02:00,8400059
299,704362,2026-05-02 18:58:00+02:00,2026-05-02 18:58:30+02:00,8400079
300,704362,2026-05-02 19:04:00+02:00,2026-05-02 19:05:00+02:00,8400561
301,704362,2026-05-02 19:09:00+02:00,2026-05-02 19:09:30+02:00,8400332
302,704362,2026-05-02 19:14:00+02:00,2026-05-02 19:14:30+02:00,8400460
303,704362,2026-05-02 19:21:00+02:00,2026-05-02 19:21:30+02:00,8400603
304,704362,2026-05-02 19:26:00+02:00,2026-05-02 19:35:00+02:00,8400390
305,704362,2026-05-02 19:38:00+02:00,2026-05-02 19:38:30+02:00,8400188
306,704362,2026-05-02 19:42:00+02:00,2026-05-02 19:42:30+02:00,8400659
307,704362,2026-05-02 19:47:00+02:00,2026-05-02 19:47:30+02:00,8400278
308,704362,2026-05-02 19:50:00+02:00,2026-05-02 19:50:30+02:00,8400380
309,704362,2026-05-02 19:53:00+02:00,2026-05-03 00:00:00+02:00,8400282
310,6073,2026-05-02 00:00:00+02:00,2026-05-02 19:49:00+02:00,8400621
311,6073,2026-05-02 19:52:00+02:00,2026-05-02 19:52:30+02:00,8400606
312,6073,2026-05-02 19:55:00+02:00,2026-05-02 19:55:30+02:00,8400623
313,6073,2026-05-02 19:58:00+02:00,2026-05-02 19:59:00+02:00,8400340
314,6073,2026-05-02 20:02:00+02:00,2026-05-02 20:02:30+02:00,8400335
315,6073,2026-05-02 20:08:00+02:00,2026-05-02 20:08:30+02:00,8400154
316,6073,2026-05-02 20:15:00+02:00,2026-05-02 20:17:00+02:00,8400244
317,6073,2026-05-02 20:23:00+02:00,2026-05-02 20:23:30+02:00,8400732
318,6073,2026-05-02 20:32:00+02:00,2026-05-03 00:00:00+02:00,8400319
319,704369,2026-05-02 00:00:00+02:00,2026-05-02 18:06:00+02:00,8400282
320,704369,2026-05-02 18:09:00+02:00,2026-05-02 18:09:30+02:00,8400380
321,704369,2026-05-02 18:12:00+02:00,2026-05-02 18:12:30+02:00,8400278
322,704369,2026-05-02 18:17:00+02:00,2026-05-02 18:17:30+02:00,8400659
323,704369,2026-05-02 18:21:00+02:00,2026-05-02 18:21:30+02:00,8400188
324,704369,2026-05-02 18:25:00+02:00,2026-05-02 18:32:00+02:00,8400390
